id,question,answer,prediction,sql,response,r_num_cell,t_num_cell
nu-228,what was released after paradise city?,nightrain,not determinable from the given table,"select released, disc_song from T where disc_song like '%paradise city%'","Based on the table, the song ""Paradise City"" was released in 1989.0. 
To find the next release after ""Paradise City,"" we need to look for the next entry in the ""released"" column after 1989.0. 
Since the table provided only includes the release year for ""Paradise City"" and not subsequent songs, we cannot determine what was released after ""Paradise City"" from the given data. 
Therefore, the answer is not determinable from the given table.",2,243
nu-231,what was the time for the first place medal finisher in the k-1500 m kayak event.,1:47.066,"based on the table, the time for the first place finisher in the k-1500 m kayak event was 1:47.066.
therefore, the answer is 1:47.066.","select time, event from T;","Based on the table, the time for the first place finisher in the k-1500 m kayak event was 1:47.066.
Therefore, the answer is 1:47.066.",18,99
nu-240,what is the name of the last destination listed on this chart?,bus terminal,train station; bus terminal,select destinations from T order by row_number desc limit 1,direct ans,1,112
nu-241,how many games were played at the philsports arena?,9,9,select count(*) from T where venue like '%philsports arena%',direct ans,1,152
nu-242,how many locations are proclaim home to sea turtles?,3,2,select count(*) from T where description like '%sea turtles%',direct ans,1,70
nu-254,how many times was lanny poffo champion?,4,4,select count(*) from T where wrestler_ = 'lanny poffo',direct ans,1,88
nu-256,what are the total combined apps of seasons 2006 and season 2007?,1,1,select sum(apps) from T where season = 2006 or season = 2007,direct ans,1,77
nu-258,what was frank nobilo's total score?,285,285,"select player, score_1, score_2, score_3, score_4, to_par from T where player like '%frank nobilo%'","Based on the table, Frank Nobilo's total score was 285. 

Therefore, the answer is 285.",6,110
nu-260,"who won the title more times, murahama or billyken kid?",billyken kid,billyken kid,"select wrestler_, times_ from T where wrestler_ like '%murahama%' or wrestler_ like '%billyken kid%'","Based on the table, Takehiro Murahama won the title 3 times (1 + 2) while Billyken Kid won the title 15 times (1 + 2 + 3 + 4 + 5).
Therefore, Billyken Kid won the title more times than Murahama.
Answer: Billyken Kid",14,261
nu-261,which number is before 061?,060,060,"select decimal, glyph from T;","Based on the table, the number before 061 is 060.
Therefore, the answer is 060.",20,60
nu-262,which original operators operate more boeing 929s: sado kisen or jr kyushu jet ferries?,jr kyushu jet ferries,tane yaku jetfoils,"select original_operator, count(*) as total_boeing_929s from T group by original_operator order by total_boeing_929s desc limit 1","Based on the table, the original operator ""tane yaku jetfoils"" operates 3 Boeing 929s. There is no information provided about Sado Kisen or JR Kyushu Jet Ferries operating Boeing 929s in the table. Therefore, based on the given data, the original operator ""tane yaku jetfoils"" operates more Boeing 929s compared to Sado Kisen or JR Kyushu Jet Ferries.
Answer: Tane Yaku Jetfoils",2,165
nu-264,how many teams have at least 10000 capacity?,15,15,select count(*) from T where capacity >= 10000,direct ans,1,144
nu-267,did episode 8 or episode 9 have a better bbc three weekly ranking?,8,episode 8,"select episode_no, bbc_three_weekly_ranking from T where episode_no = 8 or episode_no = 9","Based on the table, episode 8 had a BBC Three weekly ranking of 5, while episode 9 had a ranking of 6. 
Therefore, episode 8 had a better BBC Three weekly ranking than episode 9.
Answer: Episode 8",4,66
nu-268,who was the first and only member of team europe to beat team usa during the evening session of the third day of the 2007 weber cup?,paul moor,tore torgersen,"select team_europe, team_usa from T;","Based on the table, the only member of Team Europe to beat Team USA during the evening session of the third day of the 2007 Weber Cup was Tore Torgersen. 
Therefore, the answer is Tore Torgersen.",16,72
nu-269,which cast member was killed in an accident?,jared nathan,"matthew ""matt"" runyon",select cast_member_full_name from T;,"Based on the table, the cast member who was killed in an accident is Matthew ""Matt"" Runyon. 
Therefore, the answer is Matthew ""Matt"" Runyon.",7,77
